2021-08-05T16:38:46+02:00
Running build/bin/bench
Run on (8 X 3900 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1024 KiB (x4)
  L3 Unified 8448 KiB (x1)
Load Average: 0.05, 0.19, 0.30
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"BytesProcessed","ItemsProcessed","dataSize","wireSize"
"memcpy(Benchmark)/8192/0/0/repeats:3",81766,8378.93,8378.77,ns,,,,,,2.74275e+10,119349,229809,229809
"memcpy(Benchmark)/8192/0/0/repeats:3_mean",3,8369.05,8368.84,ns,,,,,,2.74601e+10,119491,229809,229809
"memcpy(Benchmark)/8192/0/0/repeats:3_median",3,8374.11,8373.98,ns,,,,,,2.74432e+10,119418,229809,229809
"memcpy(Benchmark)/8192/0/0/repeats:3_stddev",3,13.1483,13.2766,ns,,,,,,4.3598e+07,189.714,0,0
"OpenCMW/10000/0/0/repeats:3",26257,26737.2,26736.2,ns,,,,,,1.04889e+10,37402.5,280433,281544
"OpenCMW/10000/0/0/repeats:3",26257,26494.1,26492.9,ns,,,,,,1.05852e+10,37746,280433,281544
"OpenCMW/10000/0/0/repeats:3",26257,26810.1,26809.5,ns,,,,,,1.04602e+10,37300.3,280433,281544
"OpenCMW/10000/0/0/repeats:3_mean",3,26680.5,26679.5,ns,,,,,,1.05114e+10,37482.9,280433,281544
"OpenCMW/10000/0/0/repeats:3_median",3,26737.2,26736.2,ns,,,,,,1.04889e+10,37402.5,280433,281544
"OpenCMW/10000/0/0/repeats:3_stddev",3,165.463,165.704,ns,,,,,,6.54704e+07,233.462,0,0
"OpenCMW/10/100/1/repeats:3",34833,20088.2,20087.6,ns,,,,,,2.02463e+08,49782,4067,11713
"OpenCMW/10/100/1/repeats:3",34833,20284,20283.9,ns,,,,,,2.00504e+08,49300.1,4067,11708
"OpenCMW/10/100/1/repeats:3",34833,20158,20157.9,ns,,,,,,2.01757e+08,49608.4,4067,11716
"OpenCMW/10/100/1/repeats:3_mean",3,20176.7,20176.5,ns,,,,,,2.01575e+08,49563.5,4067,11712.3
"OpenCMW/10/100/1/repeats:3_median",3,20158,20157.9,ns,,,,,,2.01757e+08,49608.4,4067,11713
"OpenCMW/10/100/1/repeats:3_stddev",3,99.2403,99.4803,ns,,,,,,992553,244.05,0,4.04145
"OpenCMW/256/0/0/repeats:3",268102,2606.08,2606.05,ns,,,,,,2.91668e+09,383723,7601,8712
"OpenCMW/256/0/0/repeats:3",268102,2637.25,2637.23,ns,,,,,,2.88219e+09,379185,7601,8712
"OpenCMW/256/0/0/repeats:3",268102,2539.53,2539.5,ns,,,,,,2.99311e+09,393779,7601,8712
"OpenCMW/256/0/0/repeats:3_mean",3,2594.28,2594.26,ns,,,,,,2.93066e+09,385562,7601,8712
"OpenCMW/256/0/0/repeats:3_median",3,2606.08,2606.05,ns,,,,,,2.91668e+09,383723,7601,8712
"OpenCMW/256/0/0/repeats:3_stddev",3,49.9154,49.9225,ns,,,,,,5.67683e+07,7468.53,0,0
"OpenCMW/512/0/0/repeats:3",236496,3000.39,3000.37,ns,,,,,,4.92239e+09,333292,14769,15880
"OpenCMW/512/0/0/repeats:3",236496,2956.44,2956.36,ns,,,,,,4.99567e+09,338254,14769,15880
"OpenCMW/512/0/0/repeats:3",236496,2945.81,2945.77,ns,,,,,,5.01363e+09,339470,14769,15880
"OpenCMW/512/0/0/repeats:3_mean",3,2967.55,2967.5,ns,,,,,,4.97723e+09,337005,14769,15880
"OpenCMW/512/0/0/repeats:3_median",3,2956.44,2956.36,ns,,,,,,4.99567e+09,338254,14769,15880
"OpenCMW/512/0/0/repeats:3_stddev",3,28.9342,28.9575,ns,,,,,,4.83376e+07,3272.91,0,0
"OpenCMW/1024/0/0/repeats:3",186969,3761.28,3761.15,ns,,,,,,7.73833e+09,265876,29105,30216
"OpenCMW/1024/0/0/repeats:3",186969,3716.12,3716.01,ns,,,,,,7.83232e+09,269106,29105,30216
"OpenCMW/1024/0/0/repeats:3",186969,3719.27,3719.24,ns,,,,,,7.82553e+09,268872,29105,30216
"OpenCMW/1024/0/0/repeats:3_mean",3,3732.22,3732.13,ns,,,,,,7.79873e+09,267951,29105,30216
"OpenCMW/1024/0/0/repeats:3_median",3,3719.27,3719.24,ns,,,,,,7.82553e+09,268872,29105,30216
"OpenCMW/1024/0/0/repeats:3_stddev",3,25.2144,25.1808,ns,,,,,,5.24177e+07,1800.99,0,0
"OpenCMW/2048/0/0/repeats:3",126596,5453.16,5453.13,ns,,,,,,1.05952e+10,183381,57777,58888
"OpenCMW/2048/0/0/repeats:3",126596,5459.21,5459.12,ns,,,,,,1.05836e+10,183180,57777,58888
"OpenCMW/2048/0/0/repeats:3",126596,5450.96,5450.93,ns,,,,,,1.05995e+10,183455,57777,58888
"OpenCMW/2048/0/0/repeats:3_mean",3,5454.44,5454.39,ns,,,,,,1.05928e+10,183339,57777,58888
"OpenCMW/2048/0/0/repeats:3_median",3,5453.16,5453.13,ns,,,,,,1.05952e+10,183381,57777,58888
"OpenCMW/2048/0/0/repeats:3_stddev",3,4.27442,4.23897,ns,,,,,,8.22972e+06,142.439,0,0
"OpenCMW/4096/0/0/repeats:3",73876,9428.78,9428.74,ns,,,,,,1.22096e+10,106059,115121,116232
"OpenCMW/4096/0/0/repeats:3",73876,9334.96,9334.58,ns,,,,,,1.23327e+10,107128,115121,116232
"OpenCMW/4096/0/0/repeats:3",73876,9297.98,9297.76,ns,,,,,,1.23816e+10,107553,115121,116232
"OpenCMW/4096/0/0/repeats:3_mean",3,9353.91,9353.69,ns,,,,,,1.2308e+10,106913,115121,116232
"OpenCMW/4096/0/0/repeats:3_median",3,9334.96,9334.58,ns,,,,,,1.23327e+10,107128,115121,116232
"OpenCMW/4096/0/0/repeats:3_stddev",3,67.4314,67.5484,ns,,,,,,8.86343e+07,769.923,0,0
"OpenCMW/8192/0/0/repeats:3",37097,18721.4,18720.9,ns,,,,,,1.22756e+10,53416.4,229809,230920
"OpenCMW/8192/0/0/repeats:3",37097,18770,18769.8,ns,,,,,,1.22436e+10,53277.2,229809,230920
"OpenCMW/8192/0/0/repeats:3",37097,18988.9,18988.7,ns,,,,,,1.21024e+10,52662.9,229809,230920
"OpenCMW/8192/0/0/repeats:3_mean",3,18826.8,18826.4,ns,,,,,,1.22072e+10,53118.8,229809,230920
"OpenCMW/8192/0/0/repeats:3_median",3,18770,18769.8,ns,,,,,,1.22436e+10,53277.2,229809,230920
"OpenCMW/8192/0/0/repeats:3_stddev",3,142.503,142.629,ns,,,,,,9.2132e+07,400.907,0,0
"Protobuf/10000/0/0/repeats:3",2209,317359,317352,ns,,,,,,8.83666e+08,3151.08,280433,227912
"Protobuf/10000/0/0/repeats:3",2209,321967,321955,ns,,,,,,8.71031e+08,3106.02,280433,227943
"Protobuf/10000/0/0/repeats:3",2209,317703,317684,ns,,,,,,8.82742e+08,3147.78,280433,227918
"Protobuf/10000/0/0/repeats:3_mean",3,319010,318997,ns,,,,,,8.79146e+08,3134.96,280433,227924
"Protobuf/10000/0/0/repeats:3_median",3,317703,317684,ns,,,,,,8.82742e+08,3147.78,280433,227918
"Protobuf/10000/0/0/repeats:3_stddev",3,2566.72,2567.28,ns,,,,,,7.04325e+06,25.1156,0,16.4418
"Protobuf/10/100/1/repeats:3",35162,19774,19773.8,ns,,,,,,2.05676e+08,50572,4067,3088
"Protobuf/10/100/1/repeats:3",35162,19755.7,19755.5,ns,,,,,,2.05867e+08,50618.9,4067,3095
"Protobuf/10/100/1/repeats:3",35162,19985.2,19984.8,ns,,,,,,2.03504e+08,50037.9,4067,3085
"Protobuf/10/100/1/repeats:3_mean",3,19838.3,19838,ns,,,,,,2.05016e+08,50409.6,4067,3089.33
"Protobuf/10/100/1/repeats:3_median",3,19774,19773.8,ns,,,,,,2.05676e+08,50572,4067,3088
"Protobuf/10/100/1/repeats:3_stddev",3,127.536,127.47,ns,,,,,,1.31259e+06,322.741,0,5.1316
"Protobuf/256/0/0/repeats:3",79767,8586.51,8586.41,ns,,,,,,8.85236e+08,116463,7601,6251
"Protobuf/256/0/0/repeats:3",79767,8565.95,8565.85,ns,,,,,,8.87361e+08,116743,7601,6242
"Protobuf/256/0/0/repeats:3",79767,8626.44,8626.25,ns,,,,,,8.81147e+08,115925,7601,6248
"Protobuf/256/0/0/repeats:3_mean",3,8592.97,8592.84,ns,,,,,,8.84581e+08,116377,7601,6247
"Protobuf/256/0/0/repeats:3_median",3,8586.51,8586.41,ns,,,,,,8.85236e+08,116463,7601,6248
"Protobuf/256/0/0/repeats:3_stddev",3,30.7582,30.7106,ns,,,,,,3.15811e+06,415.486,0,4.58258
"Protobuf/512/0/0/repeats:3",43033,16239.3,16239.2,ns,,,,,,9.09467e+08,61579.5,14769,12042
"Protobuf/512/0/0/repeats:3",43033,16405.8,16405.4,ns,,,,,,9.00252e+08,60955.5,14769,12075
"Protobuf/512/0/0/repeats:3",43033,16262.4,16262,ns,,,,,,9.08194e+08,61493.2,14769,12057
"Protobuf/512/0/0/repeats:3_mean",3,16302.5,16302.2,ns,,,,,,9.05971e+08,61342.7,14769,12058
"Protobuf/512/0/0/repeats:3_median",3,16262.4,16262,ns,,,,,,9.08194e+08,61493.2,14769,12057
"Protobuf/512/0/0/repeats:3_stddev",3,90.2222,90.12,ns,,,,,,4.9935e+06,338.107,0,16.5227
"Protobuf/1024/0/0/repeats:3",21151,33319.8,33318.9,ns,,,,,,8.73528e+08,30013,29105,23711
"Protobuf/1024/0/0/repeats:3",21151,33249.2,33248.3,ns,,,,,,8.75384e+08,30076.7,29105,23716
"Protobuf/1024/0/0/repeats:3",21151,33371,33370.5,ns,,,,,,8.72177e+08,29966.6,29105,23730
"Protobuf/1024/0/0/repeats:3_mean",3,33313.3,33312.6,ns,,,,,,8.73696e+08,30018.8,29105,23719
"Protobuf/1024/0/0/repeats:3_median",3,33319.8,33318.9,ns,,,,,,8.73528e+08,30013,29105,23716
"Protobuf/1024/0/0/repeats:3_stddev",3,61.1537,61.3728,ns,,,,,,1.61009e+06,55.3202,0,9.84886
"Protobuf/2048/0/0/repeats:3",10363,66970.3,66967.1,ns,,,,,,8.62767e+08,14932.7,57777,47005
"Protobuf/2048/0/0/repeats:3",10363,64070.7,64069.3,ns,,,,,,9.0179e+08,15608.1,57777,47076
"Protobuf/2048/0/0/repeats:3",10363,63937.2,63935.4,ns,,,,,,9.03678e+08,15640.8,57777,47025
"Protobuf/2048/0/0/repeats:3_mean",3,64992.7,64990.6,ns,,,,,,8.89412e+08,15393.9,57777,47035.3
"Protobuf/2048/0/0/repeats:3_median",3,64070.7,64069.3,ns,,,,,,9.0179e+08,15608.1,57777,47025
"Protobuf/2048/0/0/repeats:3_stddev",3,1713.93,1713.03,ns,,,,,,2.30944e+07,399.716,0,36.6106
"Protobuf/4096/0/0/repeats:3",5461,126394,126390,ns,,,,,,9.10841e+08,7912.03,115121,93613
"Protobuf/4096/0/0/repeats:3",5461,128870,128868,ns,,,,,,8.93328e+08,7759.9,115121,93575
"Protobuf/4096/0/0/repeats:3",5461,128515,128514,ns,,,,,,8.95785e+08,7781.25,115121,93541
"Protobuf/4096/0/0/repeats:3_mean",3,127926,127924,ns,,,,,,8.99985e+08,7817.73,115121,93576.3
"Protobuf/4096/0/0/repeats:3_median",3,128515,128514,ns,,,,,,8.95785e+08,7781.25,115121,93575
"Protobuf/4096/0/0/repeats:3_stddev",3,1338.45,1340.22,ns,,,,,,9.48182e+06,82.364,0,36.0185
"Protobuf/8192/0/0/repeats:3",2746,255879,255869,ns,,,,,,8.9815e+08,3908.24,229809,186824
"Protobuf/8192/0/0/repeats:3",2746,251767,251764,ns,,,,,,9.12797e+08,3971.98,229809,186837
"Protobuf/8192/0/0/repeats:3",2746,251068,251061,ns,,,,,,9.15351e+08,3983.09,229809,186805
"Protobuf/8192/0/0/repeats:3_mean",3,252905,252898,ns,,,,,,9.08766e+08,3954.44,229809,186822
"Protobuf/8192/0/0/repeats:3_median",3,251767,251764,ns,,,,,,9.12797e+08,3971.98,229809,186824
"Protobuf/8192/0/0/repeats:3_stddev",3,2599.63,2597.12,ns,,,,,,9.28204e+06,40.3902,0,16.0935
"Flatbuffers(object api)/10000/0/0/repeats:3",11933,58032.9,58032.6,ns,,,,,,4.83234e+09,17231.7,280433,280680
"Flatbuffers(object api)/10000/0/0/repeats:3",11933,57786.3,57785.6,ns,,,,,,4.85299e+09,17305.4,280433,280680
